# S1 S2 MSE
2.20 2.90 0.00253
2.20 3.00 0.00949

2.30 0.00 0.80728
2.30 0.10 0.79265
2.30 0.20 0.42543
2.30 0.30 0.45968
2.30 0.40 0.37808
2.30 0.50 0.38465
2.30 0.60 0.39153
2.30 0.70 0.42188
2.30 0.80 0.38110
2.30 0.90 0.35760
2.30 1.00 0.40585
2.30 1.10 0.37863
2.30 1.20 0.37777
2.30 1.30 0.20183
2.30 1.40 0.11801
2.30 1.50 0.07434
2.30 1.60 0.02342
2.30 1.70 0.01702
2.30 1.80 0.02005
2.30 1.90 0.00854
2.30 2.00 0.00352
2.30 2.10 0.00153
2.30 2.20 0.00062
2.30 2.30 0.00000
2.30 2.40 0.00005
2.30 2.50 0.00125
2.30 2.60 0.00050
2.30 2.70 0.00282
2.30 2.80 0.00462
2.30 2.90 0.00191
2.30 3.00 0.00089

2.40 0.00 0.87016
2.40 0.10 0.77792
2.40 0.20 0.60303
2.40 0.30 0.61657
2.40 0.40 0.35689
2.40 0.50 0.35428
2.40 0.60 0.37659
2.40 0.70 0.37224
2.40 0.80 0.37323
2.40 0.90 0.32731
2.40 1.00 0.39729
2.40 1.10 0.36927
2.40 1.20 0.39161
2.40 1.30 0.26423
2.40 1.40 0.11681
2.40 1.50 0.07529
2.40 1.60 0.05266
2.40 1.70 0.03149
2.40 1.80 0.01264
2.40 1.90 0.01184
2.40 2.00 0.00741
2.40 2.10 0.00225
2.40 2.20 0.00133
2.40 2.30 0.00025
2.40 2.40 0.00000
2.40 2.50 0.00008
2.40 2.60 0.00068
2.40 2.70 0.00016
2.40 2.80 0.00022
2.40 2.90 0.00547
2.40 3.00 0.00030

2.50 0.00 1.05141
2.50 0.10 0.65894
2.50 0.20 0.67298
2.50 0.30 0.65762
2.50 0.40 0.40729
2.50 0.50 0.46474
2.50 0.60 0.33582
2.50 0.70 0.51573
2.50 0.80 0.30054
2.50 0.90 0.32827
2.50 1.00 0.49064
2.50 1.10 0.42326
2.50 1.20 0.45633
2.50 1.30 0.25331
2.50 1.40 0.13908
2.50 1.50 0.07717
