#time          Q              r            MSE
48.9652   0.999968   0.999984   1.44563e-08
48.9743   0.999968   0.999984   -3.16557e-09
49.02   0.999968   0.999984   -1.34326e-08
49.0656   0.999969   0.999984   1.46258e-09
49.1113   0.999969   0.999985   1.29252e-09
49.157   0.999969   0.999985   1.33814e-08
49.3853   0.999971   0.999985   9.02201e-09
49.6137   0.999972   0.999986   7.32791e-09
49.842   0.999973   0.999987   8.70113e-09
50.0704   0.999974   0.999987   2.13814e-08
50.0847   0.999974   0.999987   6.07053e-09
50.099   0.999975   0.999987   1.68615e-09
50.1133   0.999975   0.999987   1.31293e-08
50.1277   0.999975   0.999987   1.27397e-08
50.142   0.999975   0.999987   1.21012e-08
50.1563   0.999975   0.999987   8.90838e-09
50.1706   0.999975   0.999987   1.70583e-09
50.1849   0.999975   0.999987   1.6302e-08
50.2565   0.999975   0.999988   -5.51293e-09
50.3281   0.999976   0.999988   -9.55699e-09
50.3997   0.999976   0.999988   1.6026e-08
50.4713   0.999976   0.999988   1.38274e-08
50.7213   0.999978   0.999989   1.92934e-08
50.9713   0.999979   0.999989   1.04632e-08
51.2213   0.99998   0.99999   1.68066e-08
51.4713   0.999981   0.99999   -7.75883e-10
51.5   0.999981   0.99999   5.01975e-09
51.5286   0.999981   0.99999   9.56978e-09
51.5573   0.999981   0.99999   1.13163e-08
51.5859   0.999981   0.999991   1.43707e-08
51.6145   0.999981   0.999991   4.43383e-09
51.6432   0.999981   0.999991   6.45523e-09
51.6718   0.999981   0.999991   5.90633e-09
51.7004   0.999982   0.999991   2.13221e-08
51.7158   0.999982   0.999991   -4.98017e-09
51.7311   0.999982   0.999991   2.13497e-09
51.7465   0.999982   0.999991   -2.6057e-09
51.7618   0.999982   0.999991   7.79123e-09
51.7771   0.999982   0.999991   -8.30755e-09
51.7925   0.999982   0.999991   2.11946e-09
51.8078   0.999982   0.999991   -2.70946e-09
51.8232   0.999982   0.999991   -4.9719e-09
51.8999   0.999982   0.999991   1.3126e-08
51.9765   0.999982   0.999991   1.18771e-08
52.0532   0.999983   0.999991   2.11806e-08
52.1299   0.999983   0.999992   1.44109e-08
52.1586   0.999983   0.999992   1.83216e-08
52.1872   0.999983   0.999992   2.53404e-08
52.2159   0.999983   0.999992   2.70837e-08
52.2445   0.999983   0.999992   6.71555e-09
52.2731   0.999983   0.999992   8.71774e-09
52.3018   0.999984   0.999992   -1.48658e-08
52.3304   0.999984   0.999992   1.76172e-08
52.359   0.999984   0.999992   -4.477e-09
52.3751   0.999984   0.999992   -1.77931e-08
52.3912   0.999984   0.999992   3.31997e-08
52.4073   0.999984   0.999992   6.73423e-10
52.4234   0.999984   0.999992   2.03431e-08
52.4263   0.999984   0.999992   -3.43024e-09
52.4292   0.999984   0.999992   3.37542e-08
52.432   0.999984   0.999992   -1.3062e-08
52.4349   0.999984   0.999992   1.2218e-09
52.4378   0.999984   0.999992   4.57846e-09
52.4407   0.999984   0.999992   -1.24468e-08
52.4436   0.999984   0.999992   -4.1362e-09
52.4464   0.999984   0.999992   -2.53179e-08
52.4609   0.999984   0.999992   -1.17165e-08
52.4753   0.999984   0.999992   8.15308e-09
52.4897   0.999984   0.999992   -3.86614e-09
52.5041   0.999984   0.999992   6.73019e-09
52.5761   0.999984   0.999992   2.25301e-08
52.6482   0.999985   0.999992   4.94229e-08
52.7202   0.999985   0.999992   3.54015e-08
52.7923   0.999985   0.999993   7.31658e-09
53.0412   0.999986   0.999993   8.89595e-09
53.2901   0.999987   0.999993   1.48497e-08
53.539   0.999987   0.999994   5.26849e-09
53.7879   0.999988   0.999994   1.64655e-08
54.0379   0.999988   0.999994   1.06617e-09
54.2879   0.999989   0.999994   -1.85866e-09
54.5379   0.999989   0.999995   1.94982e-08
54.7879   0.99999   0.999995   2.49852e-08
55.0379   0.99999   0.999995   1.10168e-09
55.2879   0.999991   0.999995   1.92634e-08
55.5379   0.999991   0.999996   1.26289e-08
55.7879   0.999992   0.999996   -2.19341e-08
55.8166   0.999992   0.999996   -6.87084e-09
55.8452   0.999992   0.999996   1.4519e-08
55.8738   0.999992   0.999996   2.8159e-08
55.9025   0.999992   0.999996   1.33811e-08
55.9311   0.999992   0.999996   4.45991e-09
55.9597   0.999992   0.999996   1.88439e-08
55.9884   0.999992   0.999996   5.2051e-10
56.017   0.999992   0.999996   1.13877e-08
56.1602   0.999992   0.999996   -1.33493e-10
56.3034   0.999993   0.999996   4.51897e-09
56.4466   0.999993   0.999996   -2.84566e-08
56.5898   0.999993   0.999997   -9.94088e-10
56.8398   0.999993   0.999997   1.38778e-09
57.0898   0.999994   0.999997   2.54358e-09
57.3398   0.999994   0.999997   -1.37924e-09
57.5898   0.999994   0.999997   2.62201e-09
57.6185   0.999994   0.999997   7.77121e-09
57.6471   0.999994   0.999997   -3.37952e-09
57.6757   0.999994   0.999997   8.78571e-09
57.7044   0.999994   0.999997   9.8598e-09
57.733   0.999994   0.999997   1.38521e-08
57.7616   0.999994   0.999997   -1.49911e-09
57.7903   0.999995   0.999997   1.65283e-08
57.8189   0.999995   0.999997   1.42388e-08
