#S1         S2       STVMSE
2.4   2.7   0.000927535
2.4   2.8   0.00134747
2.4   2.9   0.00173131
2.4   3   0.00206339

2.5   0   0.97756
2.5   0.1   0.828993
2.5   0.2   0.700233
2.5   0.3   0.591123
2.5   0.4   0.501421
2.5   0.5   0.430759
2.5   0.6   0.378555
2.5   0.7   0.343853
2.5   0.8   0.325
2.5   0.9   0.318952
2.5   1   0.319714
2.5   1.1   0.31494
2.5   1.2   0.281721
2.5   1.3   0.204251
2.5   1.4   0.124699
2.5   1.5   0.0760481
2.5   1.6   0.0478092
2.5   1.7   0.0303763
2.5   1.8   0.0191666
2.5   1.9   0.011819
2.5   2   0.00698872
2.5   2.1   0.0038539
2.5   2.2   0.00188683
2.5   2.3   0.000736947
2.5   2.4   0.000163009
2.5   2.5   2.16092e-07
2.5   2.6   0.000116375
2.5   2.7   0.000375515
2.5   2.8   0.00068597
2.5   2.9   0.00099597
2.5   3   0.00127868

2.6   0   0.983065
2.6   0.1   0.834282
2.6   0.2   0.705308
2.6   0.3   0.595984
2.6   0.4   0.506071
2.6   0.5   0.435204
2.6   0.6   0.382807
2.6   0.7   0.347935
2.6   0.8   0.328961
2.6   0.9   0.322894
2.6   1   0.323871
2.6   1.1   0.319841
2.6   1.2   0.288255
2.6   1.3   0.211965
2.6   1.4   0.130962
2.6   1.5   0.080677
2.6   1.6   0.0514086
2.6   1.7   0.0332735
2.6   1.8   0.0215317
2.6   1.9   0.0137508
2.6   2   0.008549
2.6   2.1   0.00508364
2.6   2.2   0.00281418
2.6   2.3   0.00138137
2.6   2.4   0.000539962
2.6   2.5   0.000119542
2.6   2.6   4.79192e-07
2.6   2.7   8.55117e-05
2.6   2.8   0.000275826
2.6   2.9   0.000503359
2.6   3   0.000730023

2.7   0   0.987341
2.7   0.1   0.838397
2.7   0.2   0.709261
2.7   0.3   0.599778
2.7   0.4   0.509708
2.7   0.5   0.438688
2.7   0.6   0.386147
2.7   0.7   0.351149
2.7   0.8   0.332084
2.7   0.9   0.326006
2.7   1   0.327147
2.7   1.1   0.323681
2.7   1.2   0.293342
2.7   1.3   0.218033
2.7   1.4   0.135972
2.7   1.5   0.0844132
2.7   1.6   0.0543408
2.7   1.7   0.0356615
2.7   1.8   0.0235102
2.7   1.9   0.0153973
