# S1 S2 MSE_normalized
# Original MSE range: min=7.31772e-02, max=1.29563e+00
2.90 1.20 0.49176
2.90 1.30 0.21729
2.90 1.40 0.14903
2.90 1.50 0.17606
2.90 1.60 0.08944
2.90 1.70 0.09437
2.90 1.80 0.04616
2.90 1.90 0.02986
2.90 2.00 0.03139
2.90 2.10 0.04923
2.90 2.20 0.01163
2.90 2.30 0.00951
2.90 2.40 0.00831
2.90 2.50 0.03703
2.90 2.60 0.03655
2.90 2.70 0.03152
2.90 2.80 0.03497
2.90 2.90 0.04284
2.90 3.00 0.00587

3.00 0.00 0.97004
3.00 0.10 0.98315
3.00 0.20 0.62871
3.00 0.30 0.42094
3.00 0.40 0.40733
3.00 0.50 0.23400
3.00 0.60 0.54959
3.00 0.70 0.32326
3.00 0.80 0.25603
3.00 0.90 0.39639
3.00 1.00 0.38351
3.00 1.10 0.36524
3.00 1.20 0.39724
3.00 1.30 0.33102
3.00 1.40 0.14970
3.00 1.50 0.07542
3.00 1.60 0.10161
3.00 1.70 0.03852
3.00 1.80 0.06880
3.00 1.90 0.03749
3.00 2.00 0.05839
3.00 2.10 0.03577
3.00 2.20 0.03012
3.00 2.30 0.04055
3.00 2.40 0.01500
3.00 2.50 0.01458
3.00 2.60 0.02710
3.00 2.70 0.04207
3.00 2.80 0.05281
3.00 2.90 0.03116
3.00 3.00 0.02341

