#S1	S2	MSE
2.30	1.30	3.3665605316e-01
2.30	1.40	1.9645230404e-01
2.30	1.50	1.1868989598e-01
2.30	1.60	7.2297889316e-02
2.30	1.70	4.3476438971e-02
2.30	1.80	2.5246520636e-02
2.30	1.90	1.3739960805e-02
2.30	2.00	6.6624933554e-03
2.30	2.10	2.5818588383e-03
2.30	2.20	5.6830711063e-04
2.30	2.30	NaN
2.30	2.40	4.0085280050e-04
2.30	2.50	1.2875556273e-03
2.30	2.60	2.3476384642e-03
2.30	2.70	3.4093305875e-03
2.30	2.80	4.3835862967e-03
2.30	2.90	5.2304882492e-03
2.30	3.00	5.9389699102e-03
2.40	0.00	1.0000000000e+00
2.40	0.10	8.2228331139e-01
2.40	0.20	6.9394342108e-01
2.40	0.30	5.8552875653e-01
2.40	0.40	4.9703104159e-01
2.40	0.50	4.2842857681e-01
2.40	0.60	3.7967857398e-01
2.40	0.70	3.5070028171e-01
2.40	0.80	3.4133505858e-01
2.40	0.90	3.5123902631e-01
2.40	1.00	3.7953142448e-01
2.40	1.10	4.2321551980e-01
2.40	1.20	4.6473949086e-01
2.40	1.30	3.5929219434e-01
2.40	1.40	2.1260104174e-01
2.40	1.50	1.3086837460e-01
2.40	1.60	8.1775830492e-02
2.40	1.70	5.0945373672e-02
2.40	1.80	3.1116508898e-02
2.40	1.90	1.8269431262e-02
2.40	2.00	1.0021907762e-02
2.40	2.10	4.8876081724e-03
2.40	2.20	1.9019771167e-03
2.40	2.30	4.1992411189e-04
2.40	2.40	NaN
2.40	2.50	2.9807157699e-04
2.40	2.60	9.5973985008e-04
2.40	2.70	1.7520493818e-03
2.40	2.80	2.5453409792e-03
2.40	2.90	3.2720384110e-03
2.40	3.00	3.9019392641e-03
2.50	0.00	1.0000000000e+00
2.50	0.10	8.2900998914e-01
2.50	0.20	7.0038401714e-01
2.50	0.30	5.9168368152e-01
2.50	0.40	5.0290081237e-01
2.50	0.50	4.3401401369e-01
